Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;2;40;284;671,43;570,873;67,113;25,729;14,054;96,714;25,71;668;559;103,496;15;6,39;1,426183779;;;;
1;na;2;41;127;947,319;576,421;40,627;13,521;11,959;64,49;14,422;943;582;56,31;12;2,8575;0,953714056;;;;
1;na;2;42;339;1145,73;608,043;78,527;32,4;13,322;176,159;32,757;1129;605;167,661;13,88;7,6275;1,558174784;;;;
1;na;2;43;86;860,605;652,965;33,799;10,98;9,973;140,64;12,53;855;650;151,39;10;1,935;0,784811844;;;;
1;na;2;44;210;1595,581;662,557;60,042;24,526;10,902;88,854;23,77;1592;674;75,379;11;4,725;1,226382572;;;;
1;na;2;45;107;709,631;667,285;40,728;16,389;8,313;5,491;16,553;702;671;25,017;8;2,4075;0,875403365;;;;
1;na;2;46;1733;262,291;692,822;182,894;57,916;38,099;129,677;64,07;245;670;124,186;41,012;38,9925;3,523024019;;;;
1;na;2;47;1015;515,021;692,034;143,64;55,447;23,307;17,352;60,926;490;703;23,199;25,405;22,8375;2,696182862;;;;
1;na;2;48;1142;390,791;698,992;142,368;49,489;29,381;176,664;54,745;364;700;9,462;30,499;25,695;2,8598903;;;;
1;na;2;49;63;431,627;703,119;35,456;12,364;6,488;82,728;13;429;709;67,38;7;1,4175;0,671717399;;;;
1;na;2;50;14688;1061,42;763,594;475,387;153,555;121,79;168,73;163,771;978;786;10,555;118,337;330,48;10,25646387;;;;
1;na;2;51;308;311,961;705,763;87,255;33,457;11,721;178,537;37,054;292;704;3,094;12,852;6,93;1,485223051;;;;
1;na;2;52;701;1781,123;724,384;102,912;38,11;23,42;93,635;38,639;1779;705;100,437;24;15,7725;2,240656752;;;;
1;na;2;53;77;1542,526;736,877;33,213;11,101;8,832;17,225;12,53;1537;741;28,61;9;1,7325;0,742611526;;;;
1;na;2;54;638;1472,829;746,304;107,598;44,474;18,265;179,394;43,417;1450;743;172,057;19;14,355;2,137601089;;;;
