Sample;Tilt angle to optical axis;Image;Particle number;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;area_in_nm2;radius_in_nm;;;;
1;na;1;136;863;1206,101;1666,15;110,225;37,452;29,339;36,226;38,949;1189;1676;29,197;30,406;19,4175;2,4861179;;;;
1;na;1;137;141;684,16;1680,543;43,698;14,526;12,359;39,586;15,264;677;1684;31,608;12,728;3,1725;1,004907018;;;;
1;na;1;138;385;578,96;1692,562;72,426;23,023;21,292;26,991;23,854;569;1699;33,024;22;8,6625;1,660529852;;;;
1;na;1;139;1245;391,278;1722,136;131,782;43,447;36,485;171,791;44,911;369;1716;168,44;37,735;28,0125;2,986076973;;;;
1;na;1;140;204;1949;1736,417;52,284;17,869;14,536;31,977;19,209;1942;1743;38,66;15;4,59;1,208735859;;;;
1;na;1;141;389;282,248;1745,906;72,184;23,538;21,043;14,894;24,413;272;1753;34,992;21;8,7525;1,669133691;;;;
1;na;1;142;209;211,816;1746,309;52,527;17,162;15,506;19,131;18,028;203;1749;19,44;16;4,7025;1,223459129;;;;
1;na;1;143;146;550,075;1797,281;45,113;15,395;12,075;171,173;16,125;542;1796;172,875;12,966;3,285;1,022569301;;;;
1;na;1;144;376;1418,287;1805,245;72,669;25,972;18,433;43,741;26,401;1408;1813;37,304;19,092;8,46;1,641006288;;;;
1;na;1;145;492;1480,994;1826,283;84,083;26,079;24,02;68,86;27,803;1474;1838;52,306;25;11,07;1,877149552;;;;
1;na;1;146;717;531,51;1856,998;98,912;33,504;27,248;3,518;33,956;515;1853;166,373;27;16,1325;2,266083458;;;;
1;na;1;147;613;1718,133;1863,356;92,326;31,064;25,125;42,555;32,016;1706;1874;38,66;25,798;13,7925;2,095301674;;;;
1;na;1;148;75;1044,153;1866,927;31,799;10,655;8,962;136,202;11,402;1040;1863;127,875;9,842;1,6875;0,732903768;;;;
1;na;1;149;5499;1602,065;1909,599;289,907;104,122;67,244;45,825;107,056;1565;1950;49,167;70,711;123,7275;6,275642313;;;;
