Sample;Tilt angle to optical axis ;Image;Particle number;Area;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm]
2;na;3;13;180;1783,056;605,25;51,456;16,921;13,544;41,914;18,601;1778;612;53,746;14,589;4,05;1,135409635
2;na;3;14;1654;1232,52;730,729;224,936;57,397;36,691;79,727;67,186;1222;761;85,732;44,348;37,215;3,441787677
2;na;3;15;3225;1599,093;792,59;236,635;84,201;48,767;145,047;84,504;1558;778;159,206;51,367;72,5625;4,805971402
2;na;3;16;14380;1094,616;861,761;694,749;245,539;74,567;46,844;261,084;1008;958;47,018;100,532;323,55;10,14835768
2;na;3;17;2490;1288,431;795,773;269,765;96,425;32,879;158,601;101,607;1245;764;143,807;38,812;56,025;4,222950553
2;na;3;18;1777;722,388;822,922;211,22;95,422;23,711;42,786;91,439;689;851;41,009;25,456;39,9825;3,567467593
2;na;3;19;139;48,773;848,306;44,627;16,865;10,494;107,372;17,493;45;841;120,964;11;3,1275;0,997754564
2;na;3;20;151;1486,599;908,791;47,698;17,407;11,045;145,023;18,385;1481;902;135;12,344;3,3975;1,039931651
2;na;3;21;3060;1784,683;946,092;229,966;89,487;43,538;75,417;87,573;1780;990;83,443;43,519;68,85;4,681413853
2;na;3;22;792;1873,886;989,091;106,811;37,791;26,684;126,532;38,601;1863;973;126,573;28,006;17,82;2,381655343
2;na;3;23;768;1564,393;1113,217;105,397;39,003;25,071;108,559;39,925;1556;1095;112,068;25,943;17,28;2,345292057
2;na;3;24;937;1250,44;1163,663;150,208;68,978;17,296;133,425;66,528;1228;1140;132,563;17,938;21,0825;2,590515041
2;na;3;25;532;1021,897;1239,445;84,912;27,664;24,486;123,585;28,844;1013;1228;123,69;24,749;11,97;1,951965506
2;na;3;26;1237;1169,93;1262,475;134,711;47,342;33,268;114,904;50,16;1161;1240;113,499;35,336;27,8325;2,97646769
2;na;3;27;3779;953,362;1457,103;240,208;79,6;60,447;64,33;86,833;929;1493;61,074;63,894;85,0275;5,20241231
2;na;3;28;6514;453,488;1652,475;310,735;110,291;75,2;112,702;109,786;434;1603;110,251;77,371;146,565;6,830306616
2;na;3;29;2947;1295,058;1698,974;207,48;68,724;54,598;119,541;69,814;1270;1673;128,019;55,302;66,3075;4,594162903
2;na;3;30;3424;1269,379;1784,206;554,34;116,95;37,277;127,337;140,911;1231;1735;124,592;57,831;77,04;4,952029244
2;na;3;31;248;1352,23;1778,27;64,083;25,535;12,366;130,513;25,495;1344;1769;131,82;13,133;5,58;1,332729967
2;na;3;32;2072;1866,611;1856,086;172,51;57,914;45,553;126,153;60,539;1851;1830;120,801;47,376;46,62;3,852221034
2;na;3;33;2502;1080,215;1913,361;189,095;60,36;52,777;152,194;63,127;1061;1888;130,503;52,778;56,295;4,233114107
2;na;3;34;1011;1687,002;1919,513;120,811;41,617;30,93;108,07;42,544;1677;1900;119,578;31,64;22,7475;2,690864942
2;na;5;1;1321;1221,914;210,593;142,125;48,114;34,957;141,617;51,088;1204;192;130,236;37,183;29,7225;3,075868266
2;na;5;2;2283;489,22;303,385;224,894;79,999;36,336;174,894;77,795;452;294;162,031;45,345;51,3675;4,043610154
2;na;5;3;418;801,115;479,366;78,426;25,176;21,139;146,256;27,803;789;472;142,306;22,366;9,405;1,730232493
2;na;5;4;266;1221,94;717,425;60,77;21,199;15,977;138,032;22,204;1213;711;144,162;16,924;5,985;1,380248046
2;na;5;5;2369;1571,887;895,411;193,338;61,66;48,918;57,675;66,708;1555;921;49,865;48,018;53,3025;4,119066971
2;na;5;6;1178;759,598;957,812;149,439;54,64;27,45;55,782;55,758;745;981;57,45;32,414;26,505;2,904617623
2;na;5;7;5664;1044,677;1043,135;289,522;90,061;80,075;8,056;95,273;999;1029;159,092;78,175;127,44;6,369098201
2;na;5;8;262;1250,607;1133,824;72,326;30,48;10,945;34,855;31,064;1237;1141;33,179;12,214;5,895;1,369830931
2;na;5;9;655;1210,48;1159,305;119,782;29,659;28,118;42,65;38,471;1205;1179;62,103;32,496;14,7375;2,165892875
2;na;5;10;1244;584,923;1196,695;141,539;45,868;34,532;67,694;46,011;569;1213;47,643;36,232;27,99;2,984877504
2;na;5;11;2978;164,777;1298,243;206,995;67,005;56,589;128,505;70,292;136;1278;140,194;57,409;67,005;4,618263085
2;na;5;12;776;358,915;1428,742;104,225;34,368;28,749;45,348;35,114;342;1435;19,983;28,868;17,46;2,357475474
2;na;5;13;2126;880,593;1690,676;184,853;64,555;41,932;30,215;66,483;860;1716;43,781;44,917;47,835;3,902096027
2;na;5;14;2534;359,554;1709,669;192,167;58,799;54,872;118,295;60,803;341;1686;126,304;56;57,015;4,260098375
2;na;5;15;2689;1889,798;1845,477;193,782;59,871;57,185;11,724;63,253;1870;1821;129,226;55;60,5025;4,388455752
2;na;6;1;9955;1534,989;222,635;637,009;150,794;84,056;128,92;167,263;1484;149;128,446;99,743;223,9875;8,443780885
2;na;6;2;501;1613,871;210,833;113,296;48,278;13,213;65,234;48,332;1602;234;65,556;15,969;11,2725;1,894240796
2;na;6;3;1186;457,765;256,114;199,723;45,576;33,133;22,547;53,009;435;273;35,789;40,159;26,685;2,914463812
2;na;6;4;341;964,265;248,957;68,184;21,379;20,309;37,623;22,472;955;256;32,276;21;7,6725;1,56276441
2;na;6;5;220;1560,05;305,7;55,698;19,317;14,501;59,412;20,248;1554;314;57,095;15,496;4,95;1,255242581
2;na;6;6;2056;1991,609;403,058;170,61;53,075;49,323;51,282;55,57;1967;417;30,256;49,031;46,26;3,837318769
2;na;6;7;8880;1635,474;657,59;387,161;133,198;84,884;16,087;139,435;1574;658;4,525;85,453;199,8;7,974855187
2;na;6;8;210;1724,181;646,162;55,012;19,825;13,487;115,101;21,19;1722;636;109,29;14,484;4,725;1,226382572
2;na;6;9;196;724,837;720,556;57,355;21,62;11,543;153,959;22,825;715;714;151,189;12,527;4,41;1,184798125
2;na;6;10;1737;633,319;762,071;157,681;52,702;41,964;29,854;54,203;610;773;29,876;43,841;39,0825;3,527087485
2;na;6;11;291;809,545;778,486;66,184;19,817;18,697;11,745;21,954;802;771;149,931;20;6,5475;1,443652998
2;na;6;12;85;857,818;782,065;42,527;10,7;10,114;168,503;13,342;851;780;167,005;10,607;1,9125;0,780235642
2;na;6;13;1737;581,536;858,339;160,953;48,71;45,404;86,576;53,141;572;834;109,799;44,373;39,0825;3,527087485
2;na;6;14;257;890,632;1046,119;68,527;28,413;11,517;98,266;28,16;887;1033;106,504;12,527;5,7825;1,356697062
2;na;6;15;213;1135,81;1102,552;56,527;21,068;12,872;127,662;22,672;1128;1094;131,424;13,435;4,7925;1,235111383
2;na;6;16;53;1709,028;1243,16;27,556;10,996;6,137;170,918;11,705;1704;1241;160,017;6;1,1925;0,616104325
2;na;6;17;2530;72,5;1360,457;211,823;84,75;38,01;109,992;80,777;58;1323;111,801;36,581;56,925;4,256734696
2;na;6;18;830;1454,077;1436,748;140,51;45,892;23,028;20,213;47,297;1432;1447;13,449;27,785;18,675;2,438121639
2;na;6;19;1233;1476,271;1486,541;166,51;57,265;27,415;19,795;55,543;1446;1487;13,536;34,002;27,7425;2,971651396
2;na;6;20;663;920,011;1502,063;97,983;35,042;24,09;120,227;36,056;913;1485;109,44;24,981;14,9175;2,17907956
2;na;6;21;254;1960,016;1586,878;57,941;19,943;16,216;28,343;21,095;1951;1593;31,43;16,971;5,715;1,348755352
2;na;6;22;3068;1140,609;1664,362;321,546;137,052;28,502;46,327;135,37;1102;1717;48,894;34,648;69,03;4,687529354
2;na;6;23;2079;1345,59;1801,235;171,196;54,335;48,717;80,273;57,454;1328;1824;58,523;49;46,7775;3,858722677
2;na;6;24;50;603,06;2009,88;24,971;9,339;6,817;137,782;10;600;2006;126,87;7,606;1,125;0,598413421
2;na;7;1;1226;1293,212;380,27;159,48;66,179;23,587;132,807;67,476;1275;355;129,588;26,34;27,585;2,963204045
2;na;7;2;4286;95,2;784,819;247,723;77,642;70,285;49,88;81,216;70;817;52,001;71,282;96,435;5,540416399
2;na;7;3;2465;1372,617;821,323;185,581;57,444;54,636;22,016;58,898;1352;843;49,821;54,484;55,4625;4,201697522
2;na;7;4;2119;1222,929;1144,01;175,238;60,226;44,798;56,658;61,4;1205;1168;59,676;44,944;47,6775;3,895666772
2;na;7;5;3534;1812,208;1168,852;231,238;77,423;58,117;28,858;79,649;1780;1195;38,884;57,161;79,515;5,030945299
2;na;7;6;3501;1698,112;1520,89;228,208;73,479;60,665;86,753;77,492;1686;1484;107,266;60,105;78,7725;5,007401073
2;na;7;7;854;1327,465;2005,43;117,539;43,656;24,907;133,137;42,942;1318;1986;117,759;25,456;19,215;2,47312039
2;na;8;1;1337;1803,116;147,089;141,196;47,125;36,123;62,501;49,659;1793;170;64,983;37,766;30,0825;3,094439715
2;na;8;2;1733;315,791;437,707;164,794;62,604;35,246;141,678;63,135;287;424;150,593;34,648;38,9925;3,523024019
2;na;8;3;3267;876,741;730,616;223,966;80,49;51,679;21,444;81,541;838;747;23,106;52,937;73,5075;4,837164868
2;na;8;4;790;563,513;821,337;113,296;43,056;23,362;43,759;44,553;550;838;44,091;24,372;17,775;2,378646301
2;na;8;5;636;1130,753;1049,135;122,953;49,009;16,523;64,725;51,43;1118;1073;63,435;20,557;14,31;2,134247987
2;na;8;6;2046;1654,292;1210,742;191,037;78,464;33,201;137,24;78,645;1627;1185;138,608;34,648;46,035;3,827975393
2;na;8;7;3289;1730,404;1649,786;215,238;65,052;64,375;33,205;68,007;1702;1631;143,973;63,566;74,0025;4,853424291
2;na;8;8;958;583,318;1639,814;121,539;44,544;27,383;44,85;46,098;566;1656;49,399;27,77;21,555;2,619383438
2;na;8;9;2883;1581,608;1977,262;203,38;65,551;55,998;61,777;67,007;1551;1994;37,725;55,876;64,8675;4,544003361
2;na;8;10;1080;802,581;1989,369;125,983;40,734;33,758;168,613;41,629;783;1997;24,102;33,193;24,3;2,781174255
2;na;9;1;4877;149,265;174,654;281,019;94,561;65,667;60,805;94,626;118;211;54,462;65,639;109,7325;5,910071031
2;na;9;2;3478;1863,963;397,909;279,019;87,29;50,731;170,664;95,567;1823;387;166,691;59,333;78,255;4,99092578
2;na;9;3;1582;1595,049;441,771;150,995;52,508;38,361;44,17;52,479;1583;465;59,036;37,974;35,595;3,366042246
2;na;9;4;1417;1587,981;629,662;139,782;44,312;40,715;133,965;45,804;1570;616;143,881;40,779;31,8825;3,18567339
2;na;9;5;2447;492,309;862,892;188,409;65,399;47,64;159,11;66,851;461;848;158,039;49,817;55,0575;4,18632853
2;na;9;6;5869;159,044;939,788;364,274;124,473;60,034;148,126;132,654;105;911;139,586;66,982;132,0525;6,483333729
