Sample;Tilt angle to optical axis;Image;;Fläche;Weighed X-Position Central Point;Weighed Y-Position Central Point;Perimeter;Elipse fit Major axis;Elipse fit Minor axis;Elipse angle;Feret caliper;FeretX;FeretY;Feret angle;Min Feret;Area [nm2];Radius [nm];;;;
1;na;8;2;3196;157,061;162,386;217,037;74,973;54,277;139,91;77,006;136;129;127,614;53,567;71,91;4,784314362;;;;
1;na;8;3;7258;173,261;360,033;333,463;114,027;81,044;99,204;115,918;165;418;79,563;78,153;163,305;7,209826348;;;;
1;na;8;4;1268;620,431;355,891;133,296;43,488;37,125;137,212;45,607;603;342;142,125;37,58;28,53;3,013532985;;;;
1;na;8;5;2702;1159,436;419,94;203,581;67,459;50,999;155,114;69,642;1126;414;158,962;52,33;60,795;4,399050981;;;;
1;na;8;6;4534;1063,688;510,68;266,392;95,407;60,508;63,08;92,114;1052;556;69,007;58,07;102,015;5,698454443;;;;
1;na;8;7;9659;1995,717;581,822;389,404;138,19;88,995;79,547;143,402;1986;654;81,983;90,483;217,3275;8,317300751;;;;
1;na;8;8;2731;80,762;794,073;196,35;61,718;56,34;68,953;65,62;75;825;82,117;54,803;61,4475;4,422595022;;;;
1;na;8;9;9157;264,175;820,076;383,304;134,649;86,589;174,914;143,753;195;802;168,768;92,559;206,0325;8,098282634;;;;
1;na;8;10;2207;1313,979;792,895;201,539;84,059;33,429;173,119;80,411;1273;785;169,249;33,015;49,6575;3,975735551;;;;
1;na;8;11;52;769,981;797,788;25,556;8,67;7,636;136,189;9,434;767;794;122,005;8;1,17;0,610264342;;;;
1;na;8;12;4517;1203,937;1102,12;269,806;96,899;59,353;79,724;102,108;1193;1154;81,552;61,858;101,6325;5,687761379;;;;
1;na;8;13;4717;1261,967;1220,494;271,522;89,42;67,165;2,616;90,25;1217;1208;164,578;66,059;106,1325;5,812316577;;;;
1;na;8;14;875;1117,138;1279,02;109,74;36,21;30,767;147,274;37,802;1102;1268;142,524;31,546;19,6875;2,503342942;;;;
1;na;8;15;10897;211,081;1421,342;477,546;164,582;84,301;106,565;161,79;200;1499;81,469;86,083;245,1825;8,834252298;;;;
1;na;8;16;4299;48,427;1399,222;254,836;92,355;59,267;77,109;96,104;39;1446;77,989;61,039;96,7275;5,548812442;;;;
1;na;8;17;52;241,442;1374,519;26,142;9,795;6,76;108,09;10,296;239;1370;119,055;7;1,17;0,610264342;;;;
1;na;8;18;2763;214,119;1573,094;196,208;61,181;57,501;16,955;64,537;183;1579;12,529;57,276;62,1675;4,448430043;;;;
